id;kode_provinsi;nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_puskesmas;jenis_kelamin;jumlah_bayi;satuan;tahun
91;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;LAKI-LAKI;288;ORANG;2020
92;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;PEREMPUAN;283;ORANG;2020
93;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;LAKI-LAKI;663;ORANG;2020
94;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;PEREMPUAN;639;ORANG;2020
95;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;PADASUKA;LAKI-LAKI;621;ORANG;2020
96;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;PADASUKA;PEREMPUAN;603;ORANG;2020
97;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIMAHI UTARA;LAKI-LAKI;531;ORANG;2020
98;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIMAHI UTARA;PEREMPUAN;513;ORANG;2020
99;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;PASIRKALIKI;LAKI-LAKI;182;ORANG;2020
100;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;PASIRKALIKI;PEREMPUAN;177;ORANG;2020
101;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIPAGERAN;LAKI-LAKI;482;ORANG;2020
102;32;JAWA BARAT;3277;KOTA CIMAHI;3277030;CIMAHI UTARA;32.77.03;CIMAHI UTARA;CIPAGERAN;PEREMPUAN;465;ORANG;2020
